Enough of the kinds of food wanted,"Enough Food, but not always the kinds wanted",Sometimes not enough to eat,Often not enough to eat,Did not report,Age,Sex At Birth,Race,Education,Marital Status,Children Present,Location,Week,week_name,Year
7385094,5545508,1746758,290127,256787,18 - 24,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
38162462,25773735,8318100,1971396,1399463,25 - 39,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
34859827,20438800,5672575,1309261,1023675,40 - 54,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
26391862,13109868,2411653,852158,643784,55 - 64,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
35893969,13304175,1242960,254667,912253,65 and above,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
70569502,37228901,8632267,2118657,1982283,NA,Male,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
72123712,40943185,10759779,2558951,2253679,NA,Female,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
18554168,15887155,4839074,1430818,1074691,NA,NA,Hispanic or Latino (may be of any race),NA,NA,NA,US,week1,April 23 - May 5,2020
98626570,45746566,8278494,1662865,2128189,NA,NA,"White alone, not Hispanic",NA,NA,NA,US,week1,April 23 - May 5,2020
13361123,8883987,4628383,1087808,655717,NA,NA,"Black alone, not Hispanic",NA,NA,NA,US,week1,April 23 - May 5,2020
7610784,4131432,622036,167625,206976,NA,NA,"Asian alone, not Hispanic",NA,NA,NA,US,week1,April 23 - May 5,2020
4540568,3522947,1024060,328492,170388,NA,NA,"Two or more races + Other races, not Hispanic",NA,NA,NA,US,week1,April 23 - May 5,2020
7370256,5858169,2845171,982857,612417,NA,NA,NA,Less than high school,NA,NA,US,week1,April 23 - May 5,2020
42584525,25775712,8159958,1928266,1476492,NA,NA,NA,High school or GED,NA,NA,US,week1,April 23 - May 5,2020
40825851,26135711,6483985,1417461,1065550,NA,NA,NA,Some college/associate’s degree,NA,NA,US,week1,April 23 - May 5,2020
51912582,20402494,1902933,349023,1081502,NA,NA,NA,Bachelor’s degree or higher,NA,NA,US,week1,April 23 - May 5,2020
87435329,41505972,6467693,1240357,1535072,NA,NA,NA,NA,Married,NA,US,week1,April 23 - May 5,2020
6112824,2924939,555033,198544,129654,NA,NA,NA,NA,Widowed,NA,US,week1,April 23 - May 5,2020
18587876,12513146,4140064,1164809,605080,NA,NA,NA,NA,Divorced/separated,NA,US,week1,April 23 - May 5,2020
30077755,21039966,8116660,2042473,1002336,NA,NA,NA,NA,Never married,NA,US,week1,April 23 - May 5,2020
479429,188062,112597,31426,963820,NA,NA,NA,NA,Did not report,NA,US,week1,April 23 - May 5,2020
51469019,34214953,10243370,2388587,1651084,NA,NA,NA,NA,NA,Children in household,US,week1,April 23 - May 5,2020
91224195,43957133,9148676,2289021,2584878,NA,NA,NA,NA,NA,No children,US,week1,April 23 - May 5,2020
54706581,43560566,13618559,2993475,1549272,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
87807076,34467492,5758851,1681393,1614943,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
179557,144029,14637,2740,1071746,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
79606489,39529600,7724302,1466656,1349418,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
62806772,38509724,11614509,3187994,1633950,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
279952,132762,53236,22958,1252594,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
2314818,1209582,187911,8639,82842,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
186696,582531,222982,114108,3652,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
64177,52614,76834,7712,2997,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
2270603,2455309,940730,238759,89167,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
791401,609032,207292,114764,24897,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
2748168,2526487,892798,286199,37378,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
26676152,9130998,708873,139169,405706,NA,NA,NA,NA,NA,NA,US,week1,April 23 - May 5,2020
